Postcode,Average_total,Average_salary
3287,67702,38653
3289,72265,40969
3292,81182,45435
3293,74736,35147
3294,79142,41857
3300,75421,51565
3301,74137,47826
3302,116351,45075
3303,80237,53773
3304,73393,50544
3305,82254,63134
3309,71983,36386
3310,72291,42534
3311,75568,48232
3312,74079,35713
3314,100125,41440
3315,98068,38931
3317,78456,32446
3318,75028,41200
3319,86079,44964
3321,87063,63349
3322,72098,40451
3323,88946,38856
3324,83864,40179
3325,63702,36459
3328,81637,65677
3329,72795,51500
3330,81764,51021
3331,83243,66705
3332,81574,62931
3333,80701,51985
3334,84245,56153
3335,77814,64157
3336,89657,67342
3337,77489,62030
3338,77501,63936
3340,86520,67512
3341,88620,71857
3342,107689,67628
3345,89813,69860
3350,86363,62538
3351,78393,57785
3352,86024,59575
3353,66598,52528
3354,98983,56750
3355,76620,56705
3356,71127,56881
3357,91844,65852
3358,75819,65306
3360,73926,48377
3361,78725,45422
3363,81075,54558
3364,78836,53841
3370,74557,52251
3371,70914,49804
3373,76308,56265
3374,78895,59803
3375,77751,44061
3377,75326,55739
3378,69144,29421
3379,80436,36082
3380,73169,55211
3381,72424,51384
3384,74589,48977
3385,73171,41029
3387,81969,33725
3388,86251,40610
3390,76703,46597
3391,93242,32317
3392,82977,36996
3393,82215,44608
3395,94958,30516
3396,84817,42745
3400,75764,53130
3401,78783,48540
3402,91592,50382
3407,90633,35423
3409,74703,39436
3412,79889,42936
3413,70419,34907
3414,78027,52822
3418,77827,42499
3419,82146,43901
3420,83905,26620
3423,88165,39837
3424,87103,34656
3427,80422,64406
3428,115233,59578
3429,84984,67675
3430,106696,64917
3431,90097,69879
3432,95133,63903
3433,97791,72409
3434,90266,66877
3435,87596,65793
3437,100204,74132
3438,103422,75606
3440,117754,76772
3441,128611,73826
3442,102442,73012
3444,86849,60058
3446,83814,59957
3447,79876,51529
3448,85699,57022
3450,82175,52353
3451,81577,54432
3453,82807,56240
3458,88741,60959
3460,81285,50853
3461,79095,49847
3462,73188,50723
3463,77027,48274
3464,71924,54363
3465,70611,50532
3467,73735,49103
3468,73182,56106
3469,80319,61438
3472,66085,45418
3475,67613,46192
3477,74989,36421
3478,73675,48041
3480,72591,47499
3482,76687,37430
3483,83889,46250
3485,77233,35675
3487,107856,34270
3488,78149,31446
3490,73566,45520
3491,95731,26516
3494,70689,45270
3496,64317,51620
3498,78592,53685
3500,75363,56381
3501,81826,57518
3502,80026,50004
3505,73638,55030
3507,99451,30418
3509,83227,28612
3512,63999,37957
3515,77725,59383
3516,77526,48643
3517,74922,47971
3518,73447,44218
3521,76885,58000
3522,75214,55264
3523,77115,55103
3525,74740,45005
3527,74253,41168
3529,86904,34094
3530,73561,34788
3531,82965,37314
3533,77450,42600
3537,77185,41890
3540,82764,34531
3542,83267,25608
3544,70404,31088
3546,72243,40000
3549,77995,45681
3550,82364,58549
3551,83094,63026
3552,96923,57710
3554,76987,43802
3555,73670,55486
3556,71270,55437
3557,80546,57534
3558,81204,46453
3559,72508,43268
3561,76178,50015
3562,72005,50588
3563,69079,46908
3564,78067,54954
3565,60230,58052
3566,70266,44049
3567,66913,43546
3568,78497,48087
3570,76204,47801
3571,72093,42297
3572,87028,62276
3573,66687,31142
3575,68307,40002
3579,72075,46079
3580,63266,48607
3581,67075,48011
3583,62895,48694
3584,67130,45014
3585,79478,52119
3586,72620,47430
3588,68787,50756
3589,86791,39779
3590,78722,53255
3591,78578,55355
3594,67917,50198
3595,65813,51212
3596,111094,37647
3597,94250,49207
3599,77835,46421
3607,56748,57824
3608,79416,52711
3610,74476,53422
3612,76187,51133
3614,79815,61224
3616,76450,57875
3617,67251,46036
3618,67163,54412
3619,74155,53402
3620,73750,55710
3621,68906,54832
3622,74559,58923
3623,68894,54452
3624,69913,49710
3629,69962,54908
3630,75974,56067
3631,81912,58364
3632,78456,51692
3633,76469,57307
3634,70761,56246
3635,64238,55260
3636,69549,52909
3637,62199,46534
3638,73275,51849
3639,70102,51333
3640,69157,45378
3641,70268,56238
3644,75723,54057
3646,76828,51332
3649,68874,47052
3658,79968,63755
3659,88934,63464
3660,75693,55902
3661,83414,50940
3662,82487,83236
3663,80943,60870
3664,84171,55671
3665,77349,46018
3666,76427,49777
3669,75203,49197
3670,83835,55276
3671,77424,53856
3672,75651,53799
3673,76309,54176
3675,76027,56317
3676,82935,56487
3677,77680,56053
3678,79258,54808
3682,76946,54706
3683,73228,59745
3685,102419,54834
3687,76752,60553
3688,79002,61680
3689,82931,53500
3690,77252,59432
3691,81984,60863
3694,74117,67190
3695,71883,49337
3697,78400,48121
3698,78715,51812
3699,67183,48881
3700,71127,50466
3701,75449,45642
3705,69221,43147
3707,74091,45605
3708,67550,53511
3709,71726,36744
3711,96131,55398
3712,77407,53051
3713,70003,52259
3714,77079,52374
3715,70297,44045
3717,80490,50429
3718,81262,51015
3719,80078,52225
3720,72349,48077
3722,77956,48036
3723,74760,48927
3724,78698,45062
3725,74405,52961
3726,67118,38468
3727,73911,39566
3728,71623,50221
3730,76972,52546
3732,69309,49909
3733,75951,44648
3735,73175,48079
3737,73788,53497
3738,71944,56117
3739,104615,52877
3740,82779,52193
3741,75985,49036
3744,123454,42137
3746,75550,53386
3747,79551,53978
3749,82371,58830
3750,76512,63337
3751,79342,51843
3752,80672,66667
3753,84349,67603
3754,82302,68517
3755,82800,59168
3756,81500,65843
3757,85708,62824
3758,80446,65089
3759,103468,64963
3760,88118,63613
3761,84545,59712
3762,99067,64277
3763,78427,61693
3764,83772,64195
3765,85986,62400
3766,88900,65557
3767,90647,65391
3770,115865,58582
3775,87659,61174
3777,79166,56110
3778,55698,43457
3779,68714,44303
3781,82352,62183
3782,92843,63809
3783,84314,63446
3786,100978,74092
3787,98422,67916
3788,98970,68448
3789,108683,70358
3791,93049,64380
3792,97815,63788
3793,81357,56177
3795,87948,50664
3796,83790,61822
3797,80319,56474
3799,73171,54079
3800,72379,67861
